k,method,mae_mean,mae_std,rmse_mean,r1m_mean,r2m_mean,fallback_rate,n_signs
2,mean,2.564,0.081,3.941,34.76,59.27,0.0,275
2,median,2.564,0.081,3.941,34.76,59.27,0.0,275
2,geometric_median,2.564,0.081,3.941,34.76,59.27,0.0,275
2,dbscan,2.564,0.081,3.941,34.76,59.27,0.0,275
2,nsal,2.564,0.081,3.941,34.76,59.27,0.0,275
2,src,2.564,0.081,3.941,34.76,59.27,1.0,275
2,l1_sor,2.564,0.081,3.941,34.76,59.27,1.0,275
2,omp,2.564,0.081,3.941,34.76,59.27,1.0,275
2,cosamp,2.564,0.081,3.941,34.76,59.27,1.0,275
2,sp,2.564,0.081,3.941,34.76,59.27,1.0,275
2,uspa,2.53,0.09,3.889,35.49,59.64,0.0,275
3,mean,2.492,0.042,3.733,34.98,60.29,0.0,275
3,median,2.461,0.06,3.712,34.76,60.36,0.0,275
3,geometric_median,2.463,0.061,3.714,34.98,60.15,0.0,275
3,dbscan,2.45,0.062,3.668,34.91,60.87,0.0,275
3,nsal,2.471,0.04,3.694,34.98,60.29,0.0,275
3,src,2.463,0.061,3.714,34.98,60.15,1.0,275
3,l1_sor,2.463,0.061,3.714,34.98,60.15,1.0,275
3,omp,2.463,0.061,3.714,34.98,60.15,1.0,275
3,cosamp,2.463,0.061,3.714,34.98,60.15,1.0,275
3,sp,2.463,0.061,3.714,34.98,60.15,1.0,275
3,uspa,2.445,0.042,3.743,35.85,61.02,0.0,275
5,mean,2.433,0.021,3.663,35.52,62.08,0.0,259
5,median,2.382,0.033,3.631,36.06,62.55,0.0,259
5,geometric_median,2.385,0.032,3.635,35.91,62.32,0.0,259
5,dbscan,2.381,0.049,3.69,35.91,62.47,0.0,259
5,nsal,2.398,0.039,3.622,35.52,63.01,0.0,259
5,src,2.385,0.032,3.635,35.91,62.32,1.0,259
5,l1_sor,2.385,0.032,3.635,35.91,62.32,1.0,259
5,omp,2.385,0.032,3.635,35.91,62.32,1.0,259
5,cosamp,2.385,0.032,3.635,35.91,62.32,1.0,259
5,sp,2.385,0.032,3.635,35.91,62.32,1.0,259
5,uspa,2.39,0.018,3.721,37.07,63.17,0.0,259
10,mean,2.543,0.019,3.897,38.5,63.81,0.0,147
10,median,2.443,0.017,3.832,41.22,62.59,0.0,147
10,geometric_median,2.453,0.017,3.835,41.09,63.13,0.0,147
10,dbscan,2.528,0.042,4.153,38.64,64.22,0.0,147
10,nsal,2.446,0.017,3.839,41.09,63.27,0.0,147
10,src,2.469,0.015,3.858,40.95,64.22,0.0,147
10,l1_sor,2.467,0.015,3.86,40.82,63.81,0.0,147
10,omp,2.463,0.048,3.888,40.82,62.45,0.0,147
10,cosamp,2.453,0.038,3.882,41.22,62.18,0.0,147
10,sp,2.479,0.056,3.914,40.0,62.72,0.0,147
10,uspa,2.49,0.013,4.119,43.13,63.95,0.0,147
20,mean,3.705,0.051,5.144,7.14,57.14,0.0,14
20,median,3.402,0.101,4.982,17.14,57.14,0.0,14
20,geometric_median,3.381,0.086,4.913,17.14,57.14,0.0,14
20,dbscan,3.626,0.236,5.634,7.14,57.14,0.0,14
20,nsal,3.411,0.097,5.003,17.14,52.86,0.0,14
20,src,3.434,0.1,4.994,8.57,57.14,0.0,14
20,l1_sor,3.429,0.1,4.996,10.0,55.71,0.0,14
20,omp,3.352,0.126,4.799,12.86,50.0,0.0,14
20,cosamp,3.405,0.184,5.053,15.71,54.29,0.0,14
20,sp,3.421,0.169,5.023,15.71,52.86,0.0,14
20,uspa,3.546,0.14,5.89,28.57,57.14,0.0,14
all,mean,2.425,0.0,3.589,37.45,61.82,0.0,275
all,median,2.354,0.0,3.523,38.91,62.55,0.0,275
all,geometric_median,2.36,0.0,3.521,38.55,61.82,0.0,275
all,dbscan,2.377,0.0,3.619,37.82,62.55,0.0,275
all,nsal,2.359,0.0,3.525,38.55,62.55,0.0,275
all,src,2.363,0.0,3.533,38.55,62.18,0.207,275
all,l1_sor,2.362,0.0,3.533,38.91,62.91,0.207,275
all,omp,2.402,0.03,3.618,38.11,62.04,0.207,275
all,cosamp,2.356,0.018,3.533,39.2,62.55,0.207,275
all,sp,2.365,0.012,3.524,37.24,62.47,0.207,275
all,uspa,2.384,0.0,3.725,39.64,62.18,0.0,275
